ResponseID,Age,Gender,Education,SI_1,SI_2,SI_3,SI_4,SI_5,IC_1,IC_2,IC_3,IC_4,Prejudice_1,Prejudice_2,Prejudice_3,Wellbeing_1,Wellbeing_2,Wellbeing_3
98,33,Other,HS,5,4,6,6,6,7,2,3,5,4,3,3,2,3,2
99,62,Female,Bachelor,6,1,7,6,2,7,7,3,7,1,2,2,3,3,4
100,35,Female,Bachelor,2,4,7,3,4,7,2,6,4,2,4,4,5,4,4
101,64,Female,Bachelor,3,2,2,6,2,5,4,6,3,4,4,3,3,2,3
102,70,Female,Bachelor,5,3,6,4,6,5,6,2,6,2,3,2,5,4,4
103,41,Female,Bachelor,7,1,3,2,5,3,7,2,5,3,2,3,2,2,1
104,43,Male,Master,1,5,4,2,1,4,2,6,4,3,5,5,3,3,2
105,42,Other,HS,2,2,2,5,1,2,3,1,4,6,6,5,1,1,1
106,62,Female,Master,2,7,5,5,5,7,3,3,1,4,4,4,2,2,2
107,58,Other,PhD,6,4,6,2,6,6,2,5,1,4,4,3,2,2,2
108,46,Other,Bachelor,2,7,2,7,7,4,6,2,6,2,3,4,4,2,3
109,32,Female,HS,3,6,1,5,1,6,5,2,5,3,3,3,3,3,3
110,62,Male,Bachelor,5,2,1,3,7,3,4,6,4,3,2,3,2,3,2
111,18,Female,HS,5,7,7,6,1,3,3,4,6,4,5,4,1,2,2
112,42,Male,Master,7,1,4,2,1,3,5,5,6,1,3,2,3,4,3
113,24,Other,HS,1,4,3,5,4,1,2,5,2,6,5,5,1,1,1
114,26,Male,PhD,6,3,4,2,4,6,5,2,7,2,2,2,2,2,3
115,41,Male,PhD,1,2,4,4,3,4,7,1,1,3,2,3,3,2,2
116,18,Male,HS,2,1,4,1,2,4,1,4,5,2,3,4,3,1,2
117,61,Other,HS,7,5,4,6,5,5,3,5,4,4,4,3,2,2,1
118,25,Other,HS,1,6,5,2,5,5,2,2,6,4,4,5,3,2,1
119,41,Male,HS,3,4,5,1,5,7,4,5,4,2,3,2,4,4,4
120,28,Male,PhD,5,2,7,5,3,5,6,7,2,4,2,4,2,3,3
121,68,Female,Bachelor,2,2,2,1,4,3,7,4,5,2,3,3,2,3,3
122,34,Male,HS,7,3,1,6,6,4,2,4,6,5,5,4,2,2,2
123,25,Female,HS,1,3,4,2,7,6,4,7,4,1,2,3,4,5,4
124,52,Male,PhD,6,5,7,4,7,3,6,3,1,5,3,5,3,2,2
125,52,Female,PhD,3,6,2,7,6,1,6,7,7,4,2,2,3,4,3
126,50,Other,Master,3,5,1,5,3,5,2,6,2,3,3,4,3,3,3
127,22,Male,HS,1,1,6,2,6,3,7,6,5,4,3,2,3,3,3
128,59,Male,Master,5,1,3,6,5,3,5,2,2,5,3,4,2,2,2
129,56,Male,PhD,1,5,5,5,2,1,5,4,1,6,6,7,1,1,1
130,58,Male,PhD,2,6,6,3,1,2,6,3,5,4,3,3,3,2,3
131,45,Female,Bachelor,1,5,1,1,7,4,5,3,2,3,4,4,2,3,1
132,24,Male,HS,3,6,6,7,4,6,1,5,3,3,4,4,2,2,2
133,26,Other,Master,7,6,3,6,4,7,6,5,1,2,1,3,3,3,4
134,25,Other,PhD,1,7,7,3,3,2,6,7,1,3,3,3,2,2,4
135,29,Male,PhD,5,4,1,2,4,5,4,3,1,6,5,4,2,1,1
136,51,Other,Master,7,6,6,4,5,3,5,7,3,2,3,4,2,2,2
137,50,Male,Bachelor,6,3,5,5,7,1,7,7,3,4,3,3,3,2,3
138,65,Male,PhD,4,6,5,1,6,1,6,5,4,3,3,3,2,2,2
139,72,Other,HS,1,6,2,5,5,4,7,4,6,3,2,3,4,4,5
140,40,Male,PhD,5,6,6,7,3,2,1,7,7,4,5,4,2,4,2
141,41,Other,HS,7,7,4,2,5,7,4,1,2,5,4,4,2,1,2
142,54,Female,Master,5,7,6,5,6,4,2,4,4,5,5,5,2,3,2
143,52,Male,HS,6,1,7,1,2,3,7,3,2,4,4,2,3,4,3
144,61,Female,Master,3,7,1,2,3,4,6,3,7,2,2,3,4,5,5
145,57,Other,HS,5,3,1,5,2,6,1,7,6,2,2,3,3,4,4
146,39,Female,Master,7,3,7,4,1,1,3,4,3,4,4,4,1,1,1
147,44,Female,HS,5,7,6,6,2,1,1,5,6,6,4,5,2,2,1
148,52,Other,Bachelor,5,5,7,2,1,5,1,5,3,5,4,3,1,2,2
149,18,Female,HS,5,4,3,6,1,5,4,6,7,1,1,2,4,5,5
150,52,Female,HS,2,7,7,2,2,7,2,3,6,4,3,3,4,2,3
151,54,Other,Bachelor,2,6,5,4,3,3,3,2,4,4,3,4,2,2,2
152,64,Female,PhD,3,2,7,6,6,6,5,6,5,2,2,1,4,4,5
153,31,Other,PhD,1,4,1,3,5,2,5,5,4,4,3,4,2,2,2
154,20,Female,HS,5,4,5,1,5,4,7,4,2,3,2,4,3,3,2
155,18,Other,Bachelor,6,3,1,3,6,7,1,5,4,4,4,2,2,2,2
156,22,Other,HS,1,4,2,5,7,3,4,4,7,2,1,3,4,3,4
157,43,Female,Master,6,7,4,4,7,5,4,6,1,3,3,2,2,4,3
158,72,Female,Master,1,6,1,3,1,4,5,3,2,4,3,3,2,2,1
159,31,Female,HS,3,6,5,2,1,5,7,5,6,3,2,2,4,3,3
160,56,Male,PhD,5,1,2,5,3,4,7,7,2,3,2,3,4,3,3
161,44,Male,PhD,5,6,1,5,4,2,7,4,5,2,5,3,2,3,2
162,26,Male,HS,4,6,3,3,2,3,3,3,3,5,4,3,2,1,1
163,32,Other,HS,6,3,7,3,1,4,2,2,6,4,6,4,2,3,2
164,32,Female,Master,1,6,4,4,5,6,3,4,2,4,5,4,2,3,3
165,43,Other,PhD,1,1,1,1,3,7,6,6,6,1,1,1,4,3,5
166,59,Male,HS,2,2,2,3,2,1,6,2,6,4,4,3,2,1,3
167,30,Female,Master,4,7,3,7,3,6,2,2,6,4,3,2,2,3,3
168,68,Other,PhD,7,3,6,3,2,6,5,1,3,5,4,3,3,3,3
169,49,Female,Bachelor,7,2,2,6,2,7,2,5,7,2,2,1,5,3,4
170,56,Other,Master,2,3,7,2,6,1,4,4,4,5,5,4,1,3,3
171,66,Female,PhD,2,5,2,7,1,6,6,2,6,3,3,3,3,4,3
172,69,Male,PhD,2,4,3,7,3,4,1,1,1,5,5,5,1,1,1
173,49,Male,Master,6,5,2,6,3,4,1,6,7,3,5,3,3,4,3
174,21,Female,Bachelor,6,6,3,6,6,4,5,3,5,3,4,2,3,3,3
175,47,Other,Master,3,2,1,5,5,1,4,7,3,5,5,5,2,2,1
176,54,Male,PhD,3,6,3,1,5,6,3,7,2,4,2,2,4,4,4
177,40,Male,HS,2,4,3,2,7,1,4,4,3,4,5,4,2,2,2
178,56,Male,HS,4,3,4,4,1,4,1,2,2,5,4,4,2,2,1
179,62,Female,Master,1,4,3,7,1,7,1,7,3,2,2,2,3,4,5
180,32,Female,PhD,6,1,3,4,4,6,6,5,2,3,3,4,4,4,3
181,60,Other,HS,4,4,6,3,6,6,4,7,6,3,1,1,4,4,4
182,46,Other,PhD,5,1,1,3,5,5,4,7,4,2,2,2,4,4,3
183,53,Other,Master,6,4,7,4,2,5,1,7,2,3,4,3,1,2,1
184,30,Female,HS,6,7,4,3,3,2,3,1,2,6,6,6,1,1,1
185,49,Female,PhD,3,1,6,1,1,3,5,2,1,5,5,5,2,2,1
186,24,Other,HS,1,2,5,6,3,5,7,5,2,5,5,4,2,4,2
187,68,Other,Master,1,6,1,3,3,1,5,2,1,6,6,6,1,1,1
188,39,Female,PhD,7,6,1,5,4,5,4,4,5,4,4,5,3,3,3
189,45,Other,HS,7,5,5,3,5,2,5,4,6,3,3,2,3,4,3
190,19,Male,Master,7,6,7,2,1,6,1,4,1,3,6,6,1,1,1
191,59,Female,HS,7,3,3,1,3,2,1,6,4,4,3,3,2,2,2
192,62,Other,HS,5,7,6,2,1,6,4,7,7,1,1,1,5,5,4
193,74,Female,Bachelor,5,4,2,2,2,7,4,6,6,2,1,1,5,3,4
194,70,Male,Bachelor,6,5,4,5,4,7,7,1,1,4,4,3,1,1,2
195,23,Female,Master,2,3,2,1,2,6,7,4,6,1,3,2,4,5,4
196,45,Female,Bachelor,3,3,5,1,1,3,6,5,6,4,2,3,3,2,3
197,45,Female,Master,3,1,1,1,7,5,4,2,6,2,1,2,3,2,2
198,61,Female,Bachelor,7,6,7,1,1,1,3,7,5,4,5,4,2,2,3
199,61,Male,HS,6,2,1,1,5,1,5,3,4,5,4,5,2,1,1
200,37,Female,Master,4,2,4,5,3,4,4,5,3,4,3,3,2,2,2
201,47,Female,Master,2,5,1,3,3,6,2,7,3,4,5,4,3,4,4
202,28,Other,HS,6,7,1,2,2,1,6,6,1,3,4,4,2,3,3
203,72,Female,Master,2,2,4,1,4,3,2,6,6,3,4,2,4,3,3
204,45,Other,Master,2,4,6,7,7,6,1,5,1,5,5,3,3,3,2
205,42,Male,Bachelor,2,2,6,3,6,3,7,6,5,1,2,1,3,2,3
206,56,Male,Master,6,5,4,3,3,1,5,4,5,4,4,3,2,2,2
207,50,Male,PhD,7,2,7,2,5,1,4,1,2,4,4,5,1,1,1
208,18,Male,HS,3,4,5,5,2,4,2,2,5,5,4,2,1,1,1
209,74,Other,Bachelor,3,1,1,4,2,1,5,1,2,6,6,6,1,1,1
210,44,Female,Bachelor,7,7,7,4,6,6,1,7,4,5,2,2,3,4,4
211,74,Male,PhD,2,5,1,3,5,7,7,2,1,5,3,5,2,3,3
212,69,Female,HS,4,1,5,6,4,6,3,2,7,2,2,3,3,3,3
213,30,Other,HS,1,1,6,6,5,6,6,1,4,3,3,3,3,3,3
214,58,Other,Bachelor,6,1,7,2,4,4,5,5,5,2,3,4,2,2,2
215,20,Other,Master,1,3,3,4,5,4,5,2,4,5,4,4,3,3,1
216,56,Male,Bachelor,7,7,3,3,5,1,3,1,4,4,6,5,1,1,1
217,23,Female,HS,4,6,3,5,1,2,5,2,4,4,6,4,1,1,1
218,25,Female,PhD,6,7,6,4,2,2,1,3,5,3,5,4,2,2,1
219,44,Female,Bachelor,7,3,6,3,5,4,1,5,7,3,5,4,3,3,4
220,26,Other,HS,2,6,5,3,6,1,3,4,6,3,4,4,2,2,2
221,54,Male,Bachelor,3,7,1,1,5,2,6,2,4,3,4,4,2,1,2
222,50,Other,Master,1,1,5,5,3,1,4,3,2,7,6,6,1,1,1
223,68,Other,Bachelor,5,5,5,1,2,1,2,4,5,5,4,4,2,1,1
224,59,Female,Bachelor,5,6,6,2,3,1,4,4,4,4,5,3,2,2,2
225,61,Other,HS,4,4,3,1,2,5,5,7,7,3,3,2,5,5,4
226,41,Female,HS,2,4,2,7,3,6,2,2,6,4,5,4,1,1,2
227,32,Male,HS,1,2,1,1,5,1,3,1,5,4,5,5,1,2,1
228,71,Female,Bachelor,2,6,6,7,5,5,3,2,3,3,4,5,3,4,4
229,49,Male,Master,1,5,3,4,1,4,6,3,6,2,3,2,3,3,3
230,49,Female,PhD,4,3,7,6,6,2,2,4,2,6,4,4,1,1,1
231,41,Other,PhD,4,1,2,3,3,6,1,2,4,3,5,3,3,1,2
232,58,Other,HS,5,2,2,7,4,7,2,1,7,4,3,4,4,3,3
233,69,Male,HS,2,4,6,5,1,2,5,7,3,3,3,2,3,4,3
234,66,Male,Bachelor,6,3,4,1,3,6,1,2,7,4,3,4,3,3,2
235,66,Male,PhD,5,3,1,7,3,7,7,5,3,2,2,2,4,5,5
236,69,Female,HS,2,1,2,5,1,2,7,7,5,3,2,2,5,4,4
237,29,Female,Master,5,6,6,6,5,6,7,1,3,4,4,5,3,2,3
238,56,Male,Master,6,4,6,6,3,2,3,3,2,7,7,7,1,1,1
239,19,Other,HS,3,5,3,1,5,2,2,4,2,5,5,5,1,1,1
240,20,Female,HS,3,3,7,2,1,7,7,2,1,4,3,3,3,3,2
241,66,Female,PhD,3,1,4,1,5,2,4,1,2,5,7,5,1,1,1
242,54,Female,PhD,3,5,1,4,2,2,6,7,6,1,2,2,3,2,3
243,66,Male,Bachelor,7,6,5,7,4,7,4,5,3,3,3,2,3,4,2
244,73,Male,PhD,1,4,7,3,7,4,7,1,2,4,4,3,3,2,3
245,34,Male,Master,7,6,7,2,3,1,6,6,5,4,2,3,2,3,3
246,66,Male,Master,7,3,3,1,6,3,5,5,7,4,2,2,4,4,4
247,19,Male,HS,7,5,2,5,4,5,4,7,7,2,2,2,3,3,3
248,19,Other,PhD,3,5,2,2,7,3,2,3,1,7,6,6,1,1,1
249,45,Other,Bachelor,6,5,3,7,5,3,2,4,7,4,3,3,3,3,4
250,71,Male,Master,4,3,6,2,3,6,4,7,3,1,2,1,3,3,3
