SubjectID,Condition,Pre_Prejudice,Post_Prejudice,Pre_Contact,Post_Contact,Group_Identification,Intergroup_Anxiety,Cooperation,Life_Satisfaction
C040,Control,6.58,3.81,2.17,3.24,1.78,4.26,4.47,2.02
C041,Control,6.63,3.95,3.25,2.34,5.86,5.54,3.97,4.0
C042,Control,4.29,4.9,3.79,3.83,5.83,2.08,2.97,3.24
C043,Control,6.0,3.85,3.54,2.66,2.18,5.4,2.96,5.53
C044,Control,2.5,4.56,2.74,3.32,3.01,4.82,5.87,4.57
C045,Control,5.14,2.93,2.07,2.93,4.21,5.54,3.8,7.0
C046,Control,3.53,5.05,1.34,1.0,6.08,4.74,1.72,4.11
C047,Control,4.06,4.26,2.62,1.92,3.93,2.97,3.63,1.0
C048,Control,4.66,3.37,1.74,2.37,4.98,3.68,1.4,4.87
C049,Control,3.65,3.9,3.34,3.38,4.08,1.0,1.67,4.19
C050,Control,6.03,4.88,2.43,5.75,4.44,4.92,1.0,2.69
C051,Control,5.97,6.57,2.53,1.0,4.75,4.28,3.15,3.32
C052,Control,4.77,3.88,1.67,3.91,5.15,3.77,2.24,3.78
C053,Control,5.24,7.0,3.79,2.2,4.02,2.78,2.7,3.03
C054,Control,5.71,1.03,3.64,3.33,6.89,5.32,1.97,4.92
C055,Control,4.75,2.1,3.19,2.25,5.0,6.48,3.34,2.78
C056,Control,6.45,5.54,1.64,1.07,3.53,5.25,2.55,4.1
C057,Control,2.99,6.29,1.0,2.21,5.63,2.32,3.92,2.96
C058,Control,3.16,6.93,3.18,3.62,6.53,1.0,3.95,3.09
C059,Control,4.06,5.66,2.56,3.71,4.94,4.25,2.26,2.72
C060,Control,3.89,4.85,5.2,4.77,4.02,4.09,2.57,4.16
C061,Control,5.39,5.79,1.0,3.44,4.4,2.94,4.19,5.76
C062,Control,6.03,4.22,1.71,1.0,5.27,4.87,2.85,5.12
C063,Control,3.02,4.74,2.7,2.87,6.75,3.84,2.56,2.88
C064,Control,6.99,2.85,2.34,5.03,5.7,3.97,3.03,2.86
C065,Control,4.9,4.48,3.22,1.19,5.6,5.52,2.69,4.78
C066,Control,5.47,4.09,1.73,1.9,5.44,3.92,4.91,4.95
C067,Control,6.18,5.39,1.85,3.39,5.1,2.29,4.81,5.32
C068,Control,3.28,4.04,2.34,3.73,5.74,4.07,3.41,2.45
C069,Control,5.57,4.85,2.19,1.16,5.04,4.54,1.0,4.02
C070,Control,5.18,4.17,3.46,2.84,5.42,4.8,3.8,5.22
C071,Control,5.51,4.28,2.22,1.72,5.23,5.98,2.46,4.54
C072,Control,3.87,5.29,4.51,3.82,2.64,4.86,3.92,4.21
C073,Control,6.0,3.75,3.08,4.33,6.53,4.82,1.68,2.75
C074,Control,5.17,5.27,2.88,2.03,5.66,4.17,3.43,4.71
C075,Control,4.59,4.27,4.33,2.09,4.3,5.85,2.18,3.88
C076,Control,4.38,2.33,2.85,1.79,5.38,5.66,1.0,3.51
C077,Control,5.68,1.72,4.6,3.46,6.62,3.15,2.34,3.81
C078,Control,7.0,6.98,3.16,3.31,5.95,7.0,3.57,4.06
C079,Control,4.49,5.35,2.3,3.6,2.85,3.61,4.1,4.44
C080,Control,4.31,4.65,4.24,1.55,3.19,2.61,2.98,2.37
C081,Control,6.43,3.61,3.27,2.31,4.9,1.59,4.5,2.85
C082,Control,3.4,7.0,3.67,4.15,5.69,3.32,1.04,3.64
C083,Control,3.53,3.62,1.1,3.14,7.0,4.84,2.84,3.95
C084,Control,1.0,4.36,1.29,3.16,4.61,2.7,3.17,4.12
C085,Control,7.0,6.03,3.26,1.86,3.39,4.9,2.7,4.3
C086,Control,6.47,2.73,4.68,4.16,1.92,7.0,3.48,3.43
C087,Control,5.78,3.53,3.66,2.05,7.0,4.09,3.97,3.06
C088,Control,6.22,4.98,1.31,2.71,7.0,5.29,2.43,1.76
C089,Control,3.75,2.89,1.0,3.94,5.09,6.69,1.5,4.0
C090,Control,2.91,4.11,2.73,2.55,5.08,5.46,4.3,3.08
C091,Control,4.95,6.19,4.24,2.21,6.06,4.5,1.4,4.96
C092,Control,5.23,2.39,2.65,3.05,4.09,5.84,4.9,3.54
C093,Control,4.26,4.8,2.76,2.29,1.0,6.63,3.0,3.79
C094,Control,5.49,4.88,2.48,1.79,2.24,1.97,1.32,4.78
C095,Control,6.09,3.68,1.0,3.01,4.37,3.33,4.43,4.17
C096,Control,3.54,3.19,2.68,1.91,4.89,5.54,1.0,4.11
C097,Control,6.37,4.87,3.87,2.66,5.26,4.66,2.14,6.39
C098,Control,5.87,6.95,4.29,3.39,7.0,4.28,1.91,4.02
C099,Control,3.49,1.85,1.98,3.09,6.59,2.72,4.52,2.55
L000,Low Contact,3.62,6.67,3.06,3.54,5.35,1.69,3.5,4.4
L001,Low Contact,6.85,1.99,5.12,3.6,3.33,1.56,4.41,2.78
L002,Low Contact,4.16,4.13,4.37,4.97,4.04,3.18,1.61,1.95
L003,Low Contact,3.16,6.18,3.94,4.21,2.81,2.43,2.71,4.2
L004,Low Contact,4.66,3.0,3.42,4.02,3.91,3.96,5.69,6.11
L005,Low Contact,5.74,5.19,2.71,4.99,3.39,4.87,3.57,6.19
L006,Low Contact,5.88,4.4,2.72,4.38,5.72,2.9,4.14,5.48
L007,Low Contact,2.95,5.59,3.63,5.17,3.93,3.51,4.31,5.29
L008,Low Contact,5.64,2.64,3.35,6.16,5.92,5.96,5.56,6.03
L009,Low Contact,5.46,5.28,3.31,3.76,6.11,2.72,6.83,3.29
L010,Low Contact,6.22,6.57,2.79,2.41,6.73,3.81,5.22,4.27
L011,Low Contact,7.0,1.32,3.45,5.36,5.16,3.95,3.35,4.42
L012,Low Contact,2.49,3.42,2.06,4.55,4.14,2.69,3.43,3.5
L013,Low Contact,5.4,5.07,3.99,4.53,5.83,3.01,3.41,3.35
L014,Low Contact,3.67,4.79,2.14,5.51,4.94,5.75,4.86,3.47
L015,Low Contact,4.91,1.99,3.23,2.93,3.33,5.78,5.55,5.6
L016,Low Contact,6.17,2.65,2.52,3.34,2.44,2.66,3.18,4.55
L017,Low Contact,7.0,4.47,3.15,3.45,6.11,1.89,6.84,4.25
L018,Low Contact,4.41,5.96,1.93,4.61,7.0,3.14,7.0,5.17
L019,Low Contact,5.99,6.55,4.96,4.06,6.2,5.59,2.26,2.32
L020,Low Contact,4.91,1.87,2.62,4.13,4.59,3.29,2.5,5.35
L021,Low Contact,3.4,1.35,2.75,4.85,5.12,1.75,4.15,4.93
L022,Low Contact,5.14,4.1,3.58,1.66,3.66,1.54,6.02,5.25
L023,Low Contact,5.28,2.32,3.89,5.41,5.86,3.45,4.95,4.73
L024,Low Contact,6.39,5.86,2.73,2.96,4.4,4.3,3.49,3.5
L025,Low Contact,5.0,6.16,3.16,3.42,5.48,3.63,1.1,5.24
L026,Low Contact,5.61,4.52,4.27,5.21,6.2,2.22,2.78,5.74
L027,Low Contact,2.18,4.28,3.53,1.65,5.35,4.93,1.77,6.39
L028,Low Contact,3.49,5.36,2.9,3.83,3.07,5.39,4.49,6.35
L029,Low Contact,3.11,4.23,3.25,3.82,6.0,3.21,7.0,4.45
L030,Low Contact,1.0,4.63,4.51,2.64,3.52,2.24,2.39,3.82
L031,Low Contact,6.36,6.79,1.0,3.3,5.45,3.8,6.85,1.99
L032,Low Contact,1.12,7.0,3.9,3.06,5.26,3.86,3.11,4.57
L033,Low Contact,5.53,7.0,4.16,5.84,2.98,2.98,4.36,2.09
L034,Low Contact,6.77,5.46,2.56,3.53,6.88,2.31,5.94,4.1
L035,Low Contact,6.13,4.63,5.68,2.69,4.14,1.24,2.35,5.26
L036,Low Contact,7.0,5.74,2.99,2.68,6.35,2.08,1.98,4.03
L037,Low Contact,1.95,2.43,5.26,1.87,3.22,3.61,4.19,4.12
L038,Low Contact,1.99,5.77,2.47,5.21,4.03,4.97,5.94,3.84
L039,Low Contact,6.32,2.51,3.32,5.22,5.78,7.0,4.86,3.96
L040,Low Contact,7.0,6.95,1.08,2.81,3.44,4.47,4.86,5.08
L041,Low Contact,2.56,3.54,2.82,1.56,3.69,5.53,1.67,6.15
L042,Low Contact,6.64,4.06,2.22,4.75,3.82,2.39,3.96,1.84
L043,Low Contact,2.83,4.03,3.57,2.79,4.7,1.08,5.4,4.66
L044,Low Contact,5.46,5.23,3.09,3.17,6.69,3.74,3.75,4.39
L045,Low Contact,4.96,4.24,3.54,2.63,3.71,4.34,3.78,5.57
L046,Low Contact,5.61,3.67,3.69,5.19,5.67,4.5,3.74,5.59
L047,Low Contact,4.13,5.01,6.08,4.4,4.37,2.87,3.89,5.42
L048,Low Contact,5.22,3.53,2.22,3.93,5.06,4.18,5.38,7.0
L049,Low Contact,2.81,5.53,3.12,1.54,6.87,4.13,5.2,2.36
L050,Low Contact,4.67,2.88,5.6,5.12,3.98,1.2,4.29,5.71
L051,Low Contact,2.4,3.1,1.67,4.79,4.45,3.01,4.26,3.35
L052,Low Contact,2.83,6.55,4.75,3.97,5.38,5.39,4.23,3.9
L053,Low Contact,5.06,6.59,3.06,2.95,5.22,4.48,4.8,5.06
L054,Low Contact,3.76,5.66,3.03,2.9,6.14,2.82,1.64,3.2
L055,Low Contact,4.73,5.37,1.96,3.46,3.18,4.97,6.58,6.33
L056,Low Contact,6.45,5.79,1.0,3.96,4.26,4.82,1.0,4.63
L057,Low Contact,4.68,6.18,4.86,2.64,3.67,3.85,6.6,4.47
L058,Low Contact,3.08,3.59,3.24,4.04,3.94,2.56,2.53,5.77
L059,Low Contact,3.75,3.8,2.41,1.82,3.7,5.34,2.19,3.24
L060,Low Contact,3.0,4.36,5.26,3.59,5.1,2.31,3.91,5.87
L061,Low Contact,5.21,7.0,4.51,3.65,4.84,5.95,4.21,6.09
L062,Low Contact,7.0,4.19,3.42,4.93,6.15,4.64,2.0,3.38
L063,Low Contact,4.26,6.32,1.52,5.58,6.17,5.23,2.61,4.49
L064,Low Contact,5.45,4.88,3.35,3.42,5.2,5.05,2.25,6.26
L065,Low Contact,6.47,3.05,3.46,4.83,3.15,3.56,3.88,3.63
L066,Low Contact,5.14,3.6,4.65,3.0,6.19,1.02,3.76,4.41
L067,Low Contact,4.71,3.91,2.2,4.66,6.5,3.38,2.36,6.55
L068,Low Contact,3.68,2.31,1.0,3.87,4.67,5.05,4.92,4.75
L069,Low Contact,4.59,6.16,5.24,4.96,4.3,4.67,3.4,3.07
L070,Low Contact,3.65,3.96,3.12,6.22,3.68,5.49,3.52,1.98
L071,Low Contact,4.24,6.27,3.41,4.24,6.99,1.95,2.42,1.68
L072,Low Contact,6.32,5.34,3.87,2.33,2.59,1.52,2.62,6.26
L073,Low Contact,6.5,3.81,3.36,2.94,5.55,1.79,5.13,3.38
L074,Low Contact,6.21,3.86,2.05,5.69,5.27,3.02,5.14,2.79
L075,Low Contact,6.66,4.29,3.72,1.89,4.43,3.51,5.55,5.22
L076,Low Contact,4.41,4.98,4.51,3.51,4.54,1.0,3.58,2.31
L077,Low Contact,4.83,5.98,1.0,5.23,4.5,3.46,3.25,2.34
L078,Low Contact,3.83,7.0,1.68,1.84,5.21,3.37,3.52,4.42
L079,Low Contact,5.97,3.62,3.23,4.98,3.51,1.0,5.01,7.0
L080,Low Contact,4.99,4.8,2.65,5.66,4.88,3.22,5.37,3.82
L081,Low Contact,3.07,5.82,2.29,2.58,7.0,3.23,4.74,4.44
L082,Low Contact,3.67,5.53,3.38,2.96,5.65,2.73,2.34,2.95
L083,Low Contact,5.41,3.93,4.8,3.7,3.82,3.74,2.06,4.3
L084,Low Contact,5.48,4.79,4.56,6.87,6.01,5.27,7.0,3.19
L085,Low Contact,5.2,3.78,4.01,4.08,3.77,3.52,5.57,2.84
L086,Low Contact,3.8,3.08,3.39,5.24,1.99,3.64,2.61,5.61
L087,Low Contact,4.64,4.7,3.0,5.1,7.0,1.8,2.57,4.79
L088,Low Contact,3.78,5.9,4.31,3.09,3.85,3.09,4.16,4.78
L089,Low Contact,1.62,3.05,2.52,2.79,1.0,1.0,2.04,4.26
L090,Low Contact,4.35,3.55,3.96,4.71,5.22,3.68,2.72,3.52
L091,Low Contact,2.44,4.12,3.94,5.38,4.63,4.24,1.0,3.88
L092,Low Contact,4.32,6.74,3.47,4.34,5.66,3.57,6.3,1.63
L093,Low Contact,5.22,6.19,1.0,4.76,3.86,3.66,2.83,5.55
L094,Low Contact,4.57,5.77,3.52,2.8,5.75,2.5,4.1,4.03
L095,Low Contact,6.35,5.31,2.96,2.93,3.1,3.7,3.05,2.15
L096,Low Contact,3.0,6.94,2.21,5.05,4.47,5.36,5.75,3.41
L097,Low Contact,2.02,1.65,2.03,6.02,4.38,3.72,5.96,4.53
L098,Low Contact,5.11,5.43,3.35,3.63,3.92,3.62,5.64,6.54
L099,Low Contact,5.44,5.63,3.32,3.65,5.77,5.28,2.67,2.66
H000,High Contact,4.2,3.82,4.04,4.06,1.27,1.74,5.71,3.81
H001,High Contact,3.87,4.8,3.09,5.66,4.47,1.37,5.46,5.8
H002,High Contact,2.76,5.98,3.69,4.61,6.22,4.33,5.5,4.94
H003,High Contact,7.0,6.68,3.04,3.86,4.29,4.05,4.45,4.95
H004,High Contact,5.44,2.12,4.32,6.08,7.0,3.67,4.56,5.84
H005,High Contact,6.48,5.06,2.07,4.17,3.29,4.91,6.93,4.21
H006,High Contact,5.19,3.31,1.83,5.29,5.29,5.4,5.02,3.15
H007,High Contact,3.43,2.16,2.49,3.99,6.23,1.0,6.03,7.0
H008,High Contact,5.83,4.18,5.23,6.74,5.85,2.03,5.97,5.11
H009,High Contact,4.4,3.82,3.42,3.76,7.0,3.11,5.61,5.47
H010,High Contact,6.4,1.3,2.87,3.83,7.0,2.71,4.23,7.0
H011,High Contact,4.2,3.19,2.84,4.23,5.37,1.0,7.0,3.85
H012,High Contact,4.38,4.63,2.75,5.05,3.48,5.64,6.8,3.9
H013,High Contact,5.27,1.77,5.07,5.49,3.54,3.55,5.58,3.65
H014,High Contact,5.57,4.03,4.37,5.33,5.16,2.74,7.0,4.83
H015,High Contact,5.7,4.43,3.42,4.83,5.18,2.36,7.0,4.65
H016,High Contact,3.63,3.49,2.91,5.49,4.31,2.67,6.19,6.29
H017,High Contact,5.14,3.65,3.62,6.29,3.52,1.0,7.0,6.04
H018,High Contact,4.67,3.53,2.53,5.5,3.54,3.76,6.26,5.45
H019,High Contact,3.66,4.29,1.95,4.42,5.13,6.26,6.26,2.12
H020,High Contact,4.04,4.53,1.65,6.25,5.24,3.99,5.16,4.44
H021,High Contact,5.85,3.49,2.92,7.0,5.91,1.0,7.0,6.04
H022,High Contact,6.78,2.09,3.39,5.38,3.56,3.92,5.64,6.58
H023,High Contact,3.89,1.31,2.71,5.53,4.2,1.0,6.58,5.65
H024,High Contact,6.03,2.93,2.48,6.98,2.64,2.13,6.21,5.93
H025,High Contact,5.25,2.12,4.4,5.25,2.5,2.81,6.71,7.0
H026,High Contact,5.61,1.28,1.26,6.76,3.8,1.0,7.0,4.63
H027,High Contact,6.42,2.13,4.77,6.3,3.92,1.0,7.0,4.95
H028,High Contact,3.86,5.58,4.13,6.67,4.85,5.32,4.03,4.54
H029,High Contact,5.58,5.25,3.79,5.15,4.29,4.26,7.0,4.15
H030,High Contact,3.64,2.68,2.19,6.49,5.65,3.34,6.29,5.49
H031,High Contact,2.63,4.69,2.32,5.21,4.29,2.72,6.86,3.99
H032,High Contact,5.38,2.83,4.59,3.91,3.5,1.96,4.61,4.93
H033,High Contact,4.21,3.63,4.21,5.34,5.24,1.0,5.8,4.69
H034,High Contact,6.02,2.35,1.97,5.63,7.0,2.24,6.25,6.34
H035,High Contact,5.76,4.27,2.89,5.16,3.87,3.23,6.7,6.06
H036,High Contact,4.27,4.75,4.36,3.79,4.55,4.26,5.03,5.83
H037,High Contact,5.01,4.0,3.05,6.15,3.47,1.13,7.0,7.0
H038,High Contact,4.99,6.07,2.07,4.61,7.0,3.71,7.0,5.76
H039,High Contact,3.48,3.84,4.44,5.09,4.57,3.23,5.16,5.55
H040,High Contact,5.1,2.76,4.18,6.03,4.47,2.48,5.59,4.43
H041,High Contact,2.45,2.77,2.25,5.39,5.66,1.3,6.56,4.05
H042,High Contact,4.81,2.6,3.9,5.39,4.83,1.56,5.51,7.0
H043,High Contact,4.25,4.22,2.86,5.79,6.26,1.97,7.0,7.0
H044,High Contact,5.85,5.92,3.58,4.13,5.41,2.0,5.11,5.11
H045,High Contact,4.77,1.91,6.25,6.22,5.37,2.63,7.0,7.0
H046,High Contact,6.03,3.68,4.77,5.42,5.65,4.0,5.42,2.71
H047,High Contact,4.35,4.66,3.84,6.86,4.4,4.87,6.28,5.93
H048,High Contact,6.36,1.43,1.79,4.0,6.61,2.04,7.0,5.2
H049,High Contact,2.79,2.49,3.14,5.87,3.52,3.35,7.0,4.43
H050,High Contact,7.0,2.7,1.8,3.41,6.83,2.53,5.28,3.43
H051,High Contact,4.42,7.0,1.0,4.49,7.0,4.37,5.14,5.44
H052,High Contact,5.69,3.7,5.14,5.66,6.7,2.77,2.95,3.77
H053,High Contact,3.52,3.13,5.49,5.68,4.84,4.36,3.82,4.61
H054,High Contact,4.04,4.1,4.08,5.82,5.73,1.96,6.48,4.19
H055,High Contact,6.01,2.75,1.65,5.3,2.13,4.71,7.0,5.6
H056,High Contact,2.56,2.45,3.05,4.93,2.47,1.0,5.58,3.66
H057,High Contact,7.0,4.24,2.04,6.65,6.45,2.93,5.94,4.84
H058,High Contact,4.19,1.49,4.83,4.63,5.04,1.13,5.61,7.0
H059,High Contact,3.91,5.67,2.97,6.07,6.87,2.91,5.47,4.98
H060,High Contact,4.77,6.3,1.22,3.13,2.44,1.16,7.0,6.11
H061,High Contact,4.09,3.46,1.66,4.02,5.87,4.07,5.28,7.0
H062,High Contact,6.45,5.89,2.64,7.0,7.0,1.88,5.77,4.06
H063,High Contact,3.28,1.8,2.03,5.58,3.85,2.87,6.4,4.64
H064,High Contact,4.91,2.71,2.63,4.28,5.13,1.6,4.25,5.91
H065,High Contact,5.94,5.17,1.77,4.67,5.35,1.75,6.86,5.8
H066,High Contact,5.72,5.69,3.77,5.43,4.71,2.31,4.4,3.08
H067,High Contact,5.7,5.34,2.6,7.0,4.74,1.0,7.0,4.62
H068,High Contact,6.51,1.58,3.49,4.29,5.3,3.65,6.8,5.28
H069,High Contact,2.93,4.6,4.24,4.0,3.66,4.11,5.69,4.16
H070,High Contact,5.41,2.54,3.19,4.75,4.51,4.17,2.3,5.87
H071,High Contact,6.42,2.57,4.13,4.1,4.01,1.34,7.0,3.11
H072,High Contact,7.0,3.04,3.74,5.88,5.23,1.6,7.0,4.58
H073,High Contact,3.9,4.82,3.17,6.88,4.91,1.52,6.41,4.66
H074,High Contact,4.07,4.75,5.2,4.95,3.54,2.27,6.77,5.51
H075,High Contact,6.79,4.5,1.68,4.66,2.93,4.22,3.01,3.66
H076,High Contact,4.23,4.35,2.37,4.81,4.48,2.76,4.17,4.06
H077,High Contact,7.0,4.1,3.91,5.32,4.79,3.19,7.0,6.22
H078,High Contact,4.81,4.93,1.0,6.32,4.36,3.33,5.03,3.61
H079,High Contact,5.51,1.25,2.52,4.28,4.74,3.7,5.27,5.58
H080,High Contact,6.11,2.59,2.29,6.89,4.88,3.26,6.75,3.76
H081,High Contact,3.86,4.06,1.0,5.0,3.7,4.17,6.52,6.63
H082,High Contact,4.94,3.33,2.63,4.65,7.0,3.71,4.4,7.0
H083,High Contact,4.39,3.98,4.13,3.4,3.76,4.97,5.66,6.4
H084,High Contact,4.32,3.36,5.14,5.78,4.48,1.47,5.11,6.69
H085,High Contact,6.15,1.78,3.1,5.17,5.47,1.59,7.0,5.2
H086,High Contact,5.56,2.32,2.12,7.0,7.0,2.4,7.0,6.66
H087,High Contact,4.06,2.41,3.8,5.56,4.4,3.58,3.84,5.34
H088,High Contact,3.14,1.69,2.15,5.69,3.99,1.0,6.72,6.99
H089,High Contact,5.96,6.2,4.69,4.67,5.95,2.36,7.0,5.09
H090,High Contact,3.82,5.56,3.38,4.45,4.25,1.5,4.5,4.63
H091,High Contact,5.56,3.6,2.47,7.0,1.98,2.96,5.79,4.04
H092,High Contact,5.55,3.17,4.5,6.29,7.0,1.78,7.0,3.8
H093,High Contact,4.83,2.8,3.72,5.94,3.65,3.49,5.43,4.22
H094,High Contact,4.98,1.28,4.12,5.18,4.95,2.37,7.0,7.0
H095,High Contact,7.0,3.37,1.66,5.23,5.47,3.72,6.47,3.97
H096,High Contact,4.2,2.56,3.65,5.93,6.04,2.95,2.91,3.13
H097,High Contact,4.79,3.65,4.5,5.34,3.54,3.49,5.97,4.72
H098,High Contact,2.58,3.63,3.27,4.05,6.12,3.48,6.07,5.21
H099,High Contact,6.42,4.05,2.16,5.01,5.84,1.0,4.6,6.02
